Institute Name,CourseName,Followers,type,Location,Day,Reach
naresh i technologies,"aws,devops",54368.0,post,hyderabad,tuesday,low
naresh i technologies,"aws,devops",54368.0,post,hyderabad,sunday,low
naresh i technologies,dataskills,54368.0,post,hyderabad,thursday,moderate
quality thought,gcp,10700.0,post,hyderabad,monday,low
quality thought,"azure,devops",10700.0,post,hyderabad,tuesday,low
quality thought,"aws,devops",10226.0,post,hyderabad,tuesday,high
quality thought,gcp,10700.0,post,hyderabad,saturday,low
social prachar,"aws,devops",10700.0,post,hyderabad,saturday,low
quality thought,"azure,devops",10700.0,post,hyderabad,saturday,low
quality thought,gcp,10700.0,post,hyderabad,saturday,low
quality thought,"azure,devops",10700.0,post,hyderabad,saturday,low
quality thought,"aws,devops",10700.0,post,hyderabad,saturday,low
quality thought,gcp,10700.0,post,hyderabad,monday,high
quality thought,"aws,devops",10700.0,post,hyderabad,tuesday,high
cedlearn,"aws,devops",5618.0,post,hyderabad,thursday,high
cedlearn,"aws,devops",5618.0,post,hyderabad,monday,high
cedlearn,"aws,devops",5618.0,post,hyderabad,monday,low
cedlearn,"aws,devops",5618.0,post,hyderabad,monday,low
harsha trainings,gcp,7308.0,post,hyderabad,wednesday,low
harsha trainings,"azure,devops",7308.0,post,hyderabad,wednesday,low
harsha trainings,"aws,devops",7308.0,post,hyderabad,wednesday,low
harsha trainings,gcp,7308.0,post,hyderabad,friday,high
harsha trainings,"aws,devops",7308.0,post,hyderabad,friday,moderate
harsha trainings,"azure,devops",7308.0,post,hyderabad,friday,high
